"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NOG",1.04101404701976e-16,-3.22115312184084,0.007,0.048,1.90921976223423e-12
"SLC39A4",1.04473731948935e-16,1.01631432162894,0.131,0.061,1.91604824394347e-12
"LENG8",1.05608466975363e-16,0.726052710955474,0.27,0.166,1.93685928432815e-12
"ATHL1",1.06887863832359e-16,-1.38828139437082,0.055,0.115,1.96032342268547e-12
"BLOC1S6",1.08711823629291e-16,0.837946598075536,0.197,0.108,1.99377484536119e-12
"SPNS3",1.15152763362711e-16,-1.50971208952424,0.042,0.087,2.11190168007211e-12
"TMEM106B",1.17259254477919e-16,-1.18657973225547,0.074,0.141,2.15053472712504e-12
"RPL7",1.19000424183932e-16,-0.16136980037917,1,1,2.18246777953332e-12
"GNB2",1.20906205996117e-16,0.496068964196183,0.466,0.341,2.21741981796878e-12
"ABCD1",1.20980574106771e-16,1.69225722802345,0.064,0.019,2.21878372911819e-12
"AATBC",1.21242243616445e-16,2.92719898870789,0.038,0.007,2.2235827479256e-12
"FAM129A",1.21301181565995e-16,1.06784428001396,0.12,0.054,2.22466366992036e-12
"TMUB1",1.22015981763025e-16,-0.954987959869259,0.112,0.177,2.23777310553388e-12
"MRPL43",1.2234347887396e-16,-0.632224931436526,0.174,0.218,2.24377940254842e-12
"AZU1",1.23004738931579e-16,3.24333604646134,0.026,0.002,2.25590691200517e-12
"C19orf25",1.23118721152762e-16,-0.98068977111049,0.112,0.185,2.25799734594166e-12
"GNL3",1.23989967958447e-16,-0.948825804758756,0.105,0.163,2.27397601235792e-12
"AKR1B1",1.25304307086306e-16,-0.731209826411786,0.162,0.22,2.29808099196285e-12
"SPIDR",1.26547877437092e-16,1.33589380420324,0.095,0.036,2.32088807219627e-12
"ANXA4",1.29777604867499e-16,0.321535349030945,0.169,0.108,2.38012127326992e-12
"MTX1",1.31291384169427e-16,0.860046855651424,0.171,0.09,2.4078839856673e-12
"TMEM208",1.31639373525458e-16,0.654897097454652,0.208,0.123,2.4142661104569e-12
"RANBP2",1.34473626628516e-16,0.810016661748407,0.16,0.084,2.46624631236698e-12
"C15orf48",1.35284404132502e-16,4.12253773687769,0.024,0.001,2.48111597179009e-12
"IKBIP",1.36488466191813e-16,1.05644292217782,0.105,0.045,2.50319846995786e-12
"OTUD6B-AS1",1.39759697476402e-16,-0.845496129259816,0.152,0.241,2.56319285171721e-12
"TIMM17B",1.39918253012512e-16,0.70349231974322,0.262,0.161,2.56610076024947e-12
"ITPK1",1.40295553745602e-16,1.30196836138584,0.112,0.046,2.57302045569434e-12
"HN1",1.43044266882834e-16,0.601044633094562,0.315,0.206,2.62343185463117e-12
"CEP85L",1.43359743138501e-16,0.924223614083524,0.189,0.102,2.62921768916011e-12
"ESD",1.46284330862827e-16,0.506190421191986,0.458,0.333,2.68285462802424e-12
"DDX3Y",1.47514050960141e-16,0.731131586797769,0.272,0.168,2.70540769460898e-12
"ACSL6",1.50408501966023e-16,-3.09624232526373,0.008,0.045,2.75849192605687e-12
"GLMN",1.51101096150685e-16,-2.05972451543905,0.019,0.072,2.77119410340356e-12
"JCHAIN",1.52083170412069e-16,-3.2186680186484,0.031,0.076,2.78920534535734e-12
"COMMD8",1.53535872600198e-16,0.655091909031906,0.306,0.197,2.81584790348763e-12
"HDGF",1.55737171884796e-16,0.87655999312458,0.188,0.101,2.85621973236715e-12
"LINC00685",1.60606702628761e-16,-1.63924055095056,0.038,0.097,2.94552692621148e-12
"BEX5",1.67443217213956e-16,-2.3710956278862,0.015,0.063,3.07090860370396e-12
"SIRPD",1.74424148842937e-16,5.00658209911753,0.021,0.001,3.19893888977947e-12
"PAXIP1-AS1",1.80642152913225e-16,-1.78484728871971,0.031,0.08,3.31297708442855e-12
"ALKBH5",1.91175051313442e-16,-0.71315577285767,0.174,0.243,3.50615044108853e-12
"NGDN",1.91385633842561e-16,-1.01971251968662,0.095,0.148,3.51001252467257e-12
"BRIX1",1.93210612749521e-16,-1.14502465879047,0.075,0.134,3.54348263782622e-12
"PLB1",1.93666269389861e-16,2.73882031514557,0.037,0.006,3.55183938061004e-12
"SNX9",1.94861244557321e-16,-2.16708896426843,0.02,0.071,3.57375522518127e-12
"MECP2",1.97614774032085e-16,-0.981344335913208,0.112,0.189,3.62425495574845e-12
"WAS",1.99640012416071e-16,0.322296205606953,0.456,0.344,3.66139782771074e-12
"METAP1D",2.08156311969598e-16,-2.59427672758941,0.012,0.057,3.81758676152243e-12
"MT-ND5",2.10452879687123e-16,0.167387709696138,0.976,0.959,3.85970581346184e-12
"BTN3A1",2.15942950678864e-16,-1.3691161488965,0.055,0.109,3.96039371545037e-12
"DYNLT3",2.21046201861616e-16,-1.0189471560387,0.097,0.167,4.05398734214204e-12
"CMSS1",2.21200773551421e-16,-1.67778707991235,0.035,0.097,4.05682218693305e-12
"TTC3",2.27768358305193e-16,-0.561512844928494,0.296,0.371,4.17727169131725e-12
"SLC12A6",2.277688701313e-16,0.826935706177703,0.132,0.066,4.17728107820804e-12
"PRMT9",2.43803523883753e-16,-0.946520267435051,0.13,0.216,4.47135662802803e-12
"RAD23A",2.44989515398026e-16,-0.432368557575077,0.324,0.372,4.4931077123998e-12
"FAM210B",2.46565900426481e-16,1.35211394569875,0.104,0.042,4.52201861382167e-12
"SUMF1",2.47132590737135e-16,1.38586739688398,0.086,0.032,4.53241171411906e-12
"TMEM134",2.49160112170897e-16,-0.74693815400631,0.177,0.248,4.56959645721425e-12
"TERF1",2.530216788312e-16,-1.14288987071166,0.08,0.15,4.64041758976422e-12
"C3orf58",2.58435417730896e-16,1.20271675154967,0.092,0.036,4.73970556118464e-12
"EIF4G3",2.78633929397418e-16,1.15670412381822,0.085,0.033,5.11014626514864e-12
"SPINT1",2.78726887820668e-16,2.07793533145374,0.054,0.013,5.11185112263104e-12
"PP7080",2.89562802153657e-16,-2.05155545647449,0.021,0.071,5.31058179149807e-12
"FAM135A",2.94037738910309e-16,1.75687878467389,0.052,0.013,5.39265213161507e-12
"TLE3",2.9803754340303e-16,1.02922045415923,0.158,0.079,5.46600854601156e-12
"LINC01504",2.99863085841155e-16,2.29302509175383,0.046,0.009,5.49948899432679e-12
"TMED9",3.07990492039752e-16,-0.631592769884452,0.242,0.329,5.64854562400905e-12
"IDH3G",3.22755235625078e-16,0.59596640708573,0.335,0.223,5.91933102136393e-12
"CENPV",3.36084339936671e-16,-2.88650014863896,0.009,0.049,6.16378679443855e-12
"SLC22A4",3.39478167280586e-16,4.38403647673287,0.02,0.001,6.22602958792595e-12
"POLM",3.46155960124046e-16,-1.52477632127448,0.045,0.107,6.348500308675e-12
"TRPV2",3.46305678107886e-16,-1.3482438408318,0.058,0.115,6.35124613649864e-12
"AAED1",3.49930309025027e-16,0.946049174888152,0.138,0.067,6.41772186751899e-12
"SPTAN1",3.54977404450404e-16,-1.17475863272418,0.072,0.145,6.51028559762041e-12
"VDR",3.62691047745231e-16,3.4244240659386,0.029,0.003,6.65175381564753e-12
"ODC1",3.63675032525532e-16,-1.0426306108914,0.111,0.176,6.66980009651825e-12
"HLA-DOA",3.837105394994e-16,-1.59326588629517,0.038,0.068,7.037251294419e-12
"NPRL3",3.8633398986048e-16,-1.62488362138593,0.038,0.083,7.0853653740412e-12
"MARCKSL1",3.87342813519326e-16,-0.753570506542699,0.197,0.282,7.10386719994444e-12
"UBXN1",3.87431907615998e-16,-0.345284292701698,0.566,0.625,7.1055011856774e-12
"TARSL2",3.8962953460837e-16,-1.70088828718113,0.033,0.094,7.1458056647175e-12
"LASP1",4.16057107432504e-16,0.511752511557477,0.294,0.195,7.63048735031212e-12
"ATP5G3",4.27097794608183e-16,0.415946648370633,0.619,0.51,7.83297355311407e-12
"GCSAM",4.30622654070712e-16,-2.74454417230132,0.01,0.053,7.89761947565685e-12
"FFAR2",4.40941385928942e-16,3.31155863313773,0.03,0.004,8.08686501793679e-12
"DEF8",4.48501562898684e-16,0.813501024665025,0.135,0.068,8.22551866356187e-12
"NHS",4.48646745947984e-16,4.69170491981451,0.021,0.001,8.22818132068602e-12
"NSG1",4.65989531349694e-16,-2.72515659921165,0.009,0.053,8.54624800495339e-12
"EMC4",4.70000982091191e-16,-0.862393200837976,0.138,0.217,8.61981801155245e-12
"BEST1",4.76917824526368e-16,1.01739470085923,0.154,0.077,8.74667290181359e-12
"UTRN",4.80816187998548e-16,0.615773310721291,0.296,0.191,8.81816888789337e-12
"MTIF3",4.81538456868347e-16,0.575600025838349,0.305,0.199,8.83141529896549e-12
"ARHGEF3",4.94087427771948e-16,-1.30828263809282,0.064,0.122,9.06156342533752e-12
"DNMT3A",5.17934466902168e-16,-1.67633036481304,0.034,0.093,9.49891812298576e-12
"GLMP",5.2403029549077e-16,1.35313004140942,0.103,0.042,9.61071561930072e-12
"AP5B1",5.24402733945342e-16,1.58525662167481,0.074,0.024,9.61754614055757e-12
"TRIO",5.40609213691497e-16,2.06982256798404,0.048,0.011,9.91477297910205e-12
"IFI35",5.72443175974507e-16,0.747709299556646,0.249,0.151,1.04986078473725e-11
"FAAP20",5.75374940232567e-16,0.53506139084925,0.424,0.305,1.05523764038653e-11
"AGAP2",5.81201768482996e-16,-2.68285412189276,0.01,0.053,1.06592404339781e-11
"CNIH1",5.84833795890389e-16,0.599569924461303,0.373,0.257,1.07258518166297e-11
"STK3",5.86885282378562e-16,1.97646272196383,0.055,0.014,1.07634760788228e-11
"LONP2",6.11082042558901e-16,-0.885131204656147,0.137,0.21,1.12072446605302e-11
"CLK4",6.72826427873656e-16,-1.22442364275857,0.069,0.136,1.23396366872028e-11
"TAF3",6.99386607723833e-16,-1.14950199645289,0.078,0.149,1.28267503856551e-11
"TMEM179B",7.07816517718954e-16,0.504621655293547,0.297,0.198,1.29813549349656e-11
"HNRNPAB",7.38071262714244e-16,0.569803836434463,0.2,0.121,1.35362269581792e-11
"DPH5",7.50647902640134e-16,-0.974780243917826,0.09,0.138,1.37668825344200e-11
"PKIA",7.52255127533338e-16,-6.39706830187006,0,0.027,1.37963590389614e-11
"ADAM17",7.74808449010523e-16,0.955443465226036,0.168,0.087,1.4209986954853e-11
"HADHB",7.8924289394911e-16,0.58640039439245,0.293,0.191,1.44747146750267e-11
"PCGF3",7.9323695741768e-16,1.34720844406564,0.068,0.023,1.45479657990402e-11
"DAP3",7.96044693052167e-16,-0.73070336562918,0.176,0.246,1.45994596705767e-11
"KCNQ1",7.9936386078196e-16,1.46659011917925,0.079,0.028,1.46603332067411e-11
"TRADD",8.05136273471034e-16,-0.79024515385645,0.164,0.233,1.47661992554588e-11
"ZP3",8.14032921245938e-16,2.35009295579918,0.043,0.008,1.49293637756505e-11
